"","SUBJ_ID","YA_Education"
"305","CC220184",NA
"306","CC220198",NA
"307","CC220203",2
"308","CC220205",6
"309","CC220217",6
"310","CC220223",NA
"311","CC220232",8
"312","CC220234",4
"313","CC220236",NA
"314","CC220238",6
"315","CC220250",NA
"316","CC220283",NA
"317","CC220284",6
"318","CC220296",8
"319","CC220298",NA
"320","CC220300",NA
"321","CC220312",NA
"322","CC220317",6
"323","CC220318",NA
"324","CC220320",NA
"325","CC220323",6
"326","CC220335",6
"327","CC220352",8
"328","CC220355",8
"329","CC220362",2
"330","CC220366",6
"331","CC220371",NA
"332","CC220372",NA
"333","CC220381",7
"334","CC220384",NA
"335","CC220394",8
"336","CC220396",6
"337","CC220407",NA
"338","CC220419",8
"339","CC220421",7
"340","CC220423",4
"341","CC220424",NA
"342","CC220450",6
"343","CC220452",6
"344","CC220457",7
"345","CC220471",NA
"346","CC220476",6
"347","CC220503",NA
"348","CC220506",6
"349","CC220511",3
"350","CC220518",8
"351","CC220519",8
"352","CC220522",7
"353","CC220526",NA
"354","CC220535",3
"355","CC220553",NA
"356","CC220555",8
"357","CC220558",NA
"358","CC220566",NA
"359","CC220567",8
"360","CC220575",NA
"361","CC220591",6
"362","CC220597",8
"363","CC220608",NA
"364","CC220609",4
"365","CC220610",8
"366","CC220626",NA
"367","CC220627",NA
"368","CC220633",NA
"369","CC220635",8
"370","CC220645",NA
"371","CC220659",8
"372","CC220671",7
"373","CC220686",6
"374","CC220691",NA
"375","CC220697",8
"376","CC220704",NA
"377","CC220713",7
"378","CC220731",NA
"379","CC220752",3
"380","CC220781",8
"381","CC220797",8
"382","CC220806",7
"383","CC220828",6
"384","CC220833",7
"385","CC220843",6
"386","CC220850",NA
"387","CC220865",7
"388","CC220876",8
"389","CC220878",7
"390","CC220901",6
"391","CC220910",8
"392","CC220912",7
"393","CC220916",6
"394","CC220920",7
"395","CC220972",6
"396","CC220974",6
"397","CC220979",6
"398","CC220999",8
"399","CC221002",6
"400","CC221015",6
"401","CC221022",NA
"402","CC221031",6
"403","CC221033",6
"404","CC221038",6
"405","CC221040",6
"406","CC221042",8
"407","CC221048",NA
"408","CC221054",6
"409","CC221084",7
"410","CC221086",6
"411","CC221089",6
"412","CC221097",3
"413","CC221101",8
"414","CC221107",6
"415","CC221126",6
"416","CC221129",NA
"417","CC221153",NA
"418","CC221164",NA
"419","CC221188",3
"420","CC221209",7
"421","CC221220",6
"422","CC221241",2
"423","CC221244",8
"424","CC221257",NA
"425","CC221262",NA
"426","CC221266",6
"427","CC221269",NA
"428","CC221275",2
"429","CC221282",NA
"430","CC221290",NA
"431","CC221301",NA
"432","CC221324",6
"433","CC221328",6
"434","CC221336",6
"435","CC221352",3
"436","CC221353",NA
"437","CC221373",6
"438","CC221397",2
"439","CC221437",6
"440","CC221443",2
"441","CC221460",6
"442","CC221485",6
"443","CC221487",6
"444","CC221511",7
"445","CC221527",3
"446","CC221529",NA
"447","CC221530",3
"448","CC221539",7
"449","CC221563",8
"450","CC221565",7
"451","CC221568",7
"452","CC221578",8
"453","CC221580",NA
"454","CC221585",NA
"455","CC221587",7
"456","CC221595",7
"457","CC221600",NA
"458","CC221614",NA
"459","CC221620",NA
"460","CC221626",3
"461","CC221648",3
"462","CC221656",NA
"463","CC221674",NA
"464","CC221675",NA
"465","CC221677",6
"466","CC221680",NA
"467","CC221684",NA
"468","CC221709",NA
"469","CC221710",6
"470","CC221733",6
"471","CC221737",NA
"472","CC221740",6
"473","CC221753",7
"474","CC221755",6
"475","CC221775",6
"476","CC221828",7
"477","CC221851",NA
"478","CC221853",6
"479","CC221879",5
"480","CC221886",NA
"481","CC221888",NA
"482","CC221892",7
"483","CC221908",NA
"484","CC221920",NA
"485","CC221930",3
"486","CC221935",8
"487","CC221954",7
"488","CC221977",7
"489","CC221980",8
"490","CC221987",7
"491","CC222018",NA
"492","CC222023",NA
"493","CC222052",7
"494","CC222060",NA
"495","CC222061",6
"496","CC222096",6
"497","CC222110",NA
"498","CC222120",NA
"499","CC222125",6
"500","CC222144",8
"501","CC222149",8
"502","CC222165",8
"503","CC222185",6
"504","CC222201",NA
"505","CC222243",NA
"506","CC222246",3
"507","CC222255",7
"508","CC222258",8
"509","CC222264",6
"510","CC222265",7
"511","CC222297",5
"512","CC222303",NA
"513","CC222304",7
"514","CC222306",8
"515","CC222307",7
"516","CC222315",6
"517","CC222326",8
"518","CC222352",8
"519","CC222360",NA
"520","CC222366",7
"521","CC222367",8
"522","CC222374",NA
"523","CC222376",7
"524","CC222389",NA
"525","CC222396",8
"526","CC222414",6
"527","CC222421",6
"528","CC222451",6
"529","CC222494",NA
"530","CC222496",NA
"531","CC222532",NA
"532","CC222555",NA
"533","CC222559",NA
"534","CC222570",NA
"535","CC222593",NA
"536","CC222596",6
"537","CC222645",7
"538","CC222652",NA
"539","CC222677",8
"540","CC222691",NA
"541","CC222692",NA
"542","CC222721",8
"543","CC222728",NA
"544","CC222789",3
"545","CC222797",8
"546","CC222809",8
"547","CC222833",NA
"548","CC222844",3
"549","CC222916",8
"550","CC222945",8
"551","CC222946",7
"552","CC222956",2
"553","CC222984",2
"554","CC222995",NA
"555","CC223085",6
"556","CC223098",6
"557","CC223115",4
"558","CC223249",8
"559","CC223286",6
"560","CC223395",6
"561","CC223580",NA
"562","CC223776",NA
"563","CC223855",NA
"564","CC223986",7
"565","CC224136",7
"566","CC224210",8
"567","CC224299",8
"568","CC224337",7
"569","CC224854",NA
"570","CC310006",NA
"571","CC310008",6
"572","CC310013",NA
"573","CC310014",NA
"574","CC310018",6
"575","CC310022",6
"576","CC310024",6
"577","CC310032",NA
"578","CC310039",NA
"579","CC310051",3
"580","CC310052",6
"581","CC310053",NA
"582","CC310070",7
"583","CC310074",NA
"584","CC310078",8
"585","CC310080",6
"586","CC310086",6
"587","CC310098",7
"588","CC310100",NA
"589","CC310102",NA
"590","CC310103",NA
"591","CC310109",6
"592","CC310122",NA
"593","CC310127",NA
"594","CC310129",2
"595","CC310134",NA
"596","CC310135",6
"597","CC310136",NA
"598","CC310138",NA
"599","CC310142",4
"600","CC310158",7
"601","CC310160",NA
"602","CC310167",6
"603","CC310169",NA
"604","CC310172",NA
"605","CC310176",NA
"606","CC310179",NA
"607","CC310187",NA
"608","CC310189",NA
"609","CC310203",7
"610","CC310212",NA
"611","CC310214",6
"612","CC310223",NA
"613","CC310224",NA
"614","CC310228",NA
"615","CC310238",NA
"616","CC310243",NA
"617","CC310244",NA
"618","CC310249",NA
"619","CC310252",NA
"620","CC310256",6
"621","CC310263",NA
"622","CC310331",6
"623","CC310338",8
"624","CC310343",3
"625","CC310355",NA
"626","CC310361",4
"627","CC310375",6
"628","CC310385",6
"629","CC310391",4
"630","CC310397",NA
"631","CC310400",8
"632","CC310402",7
"633","CC310407",7
"634","CC310410",6
"635","CC310412",NA
"636","CC310414",8
"637","CC310418",8
"638","CC310426",6
"639","CC310429",8
"640","CC310450",6
"641","CC310463",6
"642","CC310465",6
"643","CC310473",7
"644","CC310475",7
"645","CC312053",NA
"646","CC312058",8
