Loadings,Lower_CI,Upper_CI
-0.0309163443635653,-0.101735050682688,0.0446886928874601
-0.159471643672271,-0.204213671004214,-0.0790264350479287
0.159918482487465,0.0533843056743189,0.223959110287121
0.0162837506784937,-0.0891793205779398,0.0823595422275519
0.321245795771199,0.231334683541824,0.364746157664556
0.281135938707441,0.207304237593391,0.330745429870682
-0.165188886498415,-0.208008699842435,-0.0916519328839212
-0.144033005072791,-0.19067398605461,-0.0713805959192019
-0.15618940910729,-0.279138534335162,-0.0358539544606282
-0.205874362985903,-0.276504091754051,-0.117469065965621
-0.0483171081654034,-0.146862835139303,0.0337563017440817
-0.149741765712228,-0.272300403327332,-0.0601916431459119
0.091497944263124,-0.00419733772328402,0.178140430668764
0.0663844150810448,-0.00399437344729591,0.171062233089793
-0.25418460281665,-0.333605798789,-0.165922085612756
-0.148412328866163,-0.213637662428353,-0.0578283175560652
-0.0986574589360357,-0.212531868213446,-0.0199831193697881
0.0151439625354092,-0.0878872169171785,0.0787028837010784
-0.278425075613545,-0.365807461110708,-0.148494780946829
-0.0986222471089114,-0.151454231014781,0.0099445357523106
-0.276982916956788,-0.316186827149029,-0.183863364032353
-0.310904803717747,-0.348696695514956,-0.218758863932941
0.0250185230084045,-0.0719717851446239,0.116481105172973
0.0160912343234616,-0.0923570204170253,0.0909209976577389
0.0441248330685603,-0.0117522739781195,0.113970143174099
-0.0312502570593142,-0.0968920025400531,0.0696218544387938
0.282162003527163,0.182322065987275,0.341171768482115
0.0895097410405053,0.0122883239342781,0.145193273926944
0.255005779525992,0.17430371628709,0.2963599187741
0.311036993967236,0.210743980416971,0.346079756169081
-0.0476966929412445,-0.102850950468089,0.033133546613514
-0.0219049241984333,-0.100578644504887,0.0912247083346767
