Loadings,Lower_CI,Upper_CI
0.250546691755151,0.18190570410999,0.305314264317493
0.672748840132526,0.602730240175763,0.707619808638255
-0.209878653407251,-0.321886944194008,-0.0954873414306008
-0.209294937721676,-0.306916675794203,-0.0753740377121653
0.051865495776047,-0.0686481626559474,0.179231383419495
-0.314243511487222,-0.392284967483079,-0.188500367273411
-0.438173642357504,-0.515425934874405,-0.311347178705604
-0.228733449389255,-0.312868514924591,-0.0739808173718775
0.0240322978733199,-0.086246395242882,0.148250700472325
0.211591268857318,0.0940857564867538,0.307305002844027
0.0753616013029457,-0.059774455712179,0.211157983884905
