Loadings,Lower_CI,Upper_CI
0.124741590767736,0.0115621853636155,0.221237815429098
0.482273053155246,0.394812638960803,0.602307337458227
-0.104538004700757,-0.243582992095954,0.0682608630932675
-0.302279406516916,-0.463668085631396,-0.0800301785808343
0.102946424660493,-0.0427152433436491,0.297877971612389
-0.246458481578998,-0.380207292381665,-0.049194814736852
-0.490988906648121,-0.590878216098029,-0.314764558411127
-0.323639822307676,-0.478581745436471,-0.0821781944533082
0.0214941066633907,-0.161550494922777,0.234708195735456
0.156566911906098,-0.0219090410152232,0.362256022296146
-0.053337139649109,-0.258075991050587,0.19151738136846
