Loadings,Lower_CI,Upper_CI
-0.6336589441363,-0.680808226892461,-0.589622985308707
0.758143617695072,0.723970097218615,0.791328490042179
0.682849734816865,0.627866022558754,0.729088965937835
-0.0540733508776294,-0.156533197855841,0.0501715186005545
0.700003697025695,0.644324604596745,0.74359556730248
0.503373141120997,0.405996608083064,0.57957870188286
0.337456046543696,0.247619247196884,0.422982487861661
0.293716623488176,0.195086989945709,0.385691084879595
0.495052525368931,0.415175302853905,0.566401609793144
0.467389690292669,0.37396835692615,0.540188582858642
0.297381864406799,0.200201634445986,0.3937774144661
