Loadings,Lower_CI,Upper_CI
0.58651401384826,0.515353517483468,0.646025338396798
0.000737846780219904,-0.0859551338998244,0.0859317772215278
-0.0428044699061209,-0.126980247208666,0.045747371223592
0.404638759865019,0.303942836162992,0.464453804109658
0.228047664495711,0.132926340315151,0.298657361683602
0.00705774617949936,-0.0961200509451745,0.0987165955154226
0.422771950247426,0.327966965797156,0.494998417784508
0.186317527529811,0.0842567294939391,0.265038997627887
0.199031616813469,0.10002356772205,0.287746762057139
0.344413561399069,0.248028256029348,0.415019755921751
0.258255378843885,0.146819459014383,0.341252480070868
