Loadings,Lower_CI,Upper_CI
0.303500763736722,0.197084063424926,0.40217894856807
0.0843938155771688,-0.028243964519043,0.177597310815151
0.094317430718602,-0.0317390917322919,0.199600831010959
0.695406600865301,0.61129776084652,0.758479670321081
0.364907527531398,0.240261991707698,0.462450008147006
0.272498506958044,0.125641155296876,0.380872871008898
0.414940203804182,0.289600779171673,0.533919865642767
0.530823651840791,0.410090584525236,0.623099622607652
0.249519963223445,0.112337744223316,0.367202112745299
0.636452980098757,0.538710866049501,0.710979736307174
0.458900878502707,0.32346024363798,0.557022564105879
