Loadings,Lower_CI,Upper_CI
0.416484346363337,0.293139655500791,0.483042599380928
-0.113393711616369,-0.211476554175235,-0.0235730091147656
0.0942883022712271,-0.0137192853458373,0.20391221880447
0.504664200316933,0.377725392021555,0.571005899784054
0.204406537942003,0.0792820962439629,0.319027227289459
-0.00230819600174352,-0.139368935712635,0.1035369531726
0.369373302145851,0.224429176210515,0.481057842209614
0.260231541010966,0.101778187853991,0.367377415771703
0.0472431377842073,-0.0812745263264789,0.167458534177455
0.487301839933969,0.363776657938471,0.572102344960355
0.25390346060152,0.107832459143486,0.346666937762195
